,University,2014 Authors Mean,2014 Authors Log Mean,2014 Authors Std,2014 Authors log Std,2015 Authors Mean,2015 Authors Log Mean,2015 Authors Std,2015 Authors log Std,2016 Authors Mean,2016 Authors Log Mean,2016 Authors Std,2016 Authors log Std,2017 Authors Mean,2017 Authors Log Mean,2017 Authors Std,2017 Authors log Std,2018 Authors Mean,2018 Authors Log Mean,2018 Authors Std,2018 Authors log Std,Authors Mean Change,Authors Mean Acc,Authors Std Change,Authors Std Acc
16,Tsinghua University,71.78125,71.75846406351835,1.912694026105587,1.0248193577055722,88.5375,88.17841180354465,9.08149732973587,1.0883239440319732,123.46875,123.23704191310145,8.227181986409441,1.0605875552768351,96.7125,96.05922236912969,12.792765289412623,1.1156094786538537,124.1625,122.47436414137864,22.98692223308728,1.1694911632353837,13.095312499999999,3.5645833333333314,5.268557051745423,1.0084512133481252
17,The University of Edinburgh,88.69375,88.28972358223025,9.60338278615925,1.0943370889237034,117.4125,117.17003351733611,8.275254905439493,1.0634782314954412,125.11875,124.94054365642621,7.347934977767556,1.0522493532866024,95.24375,94.78233992162215,10.87930769569002,1.0960089329496268,115.025,114.7905857520948,8.207428038064016,1.0623338856412405,6.582812500000003,-2.9791666666666665,-0.34898868702380836,-0.447917258968749
18,University of Pennsylvania,89.09375,88.8215301211958,7.099997249119186,1.0805785847430682,118.25625,118.15389250576496,4.961409672411664,1.042315825455183,125.975,125.9311096788266,3.340939239196072,1.0266885153475969,93.3125,93.30313643743744,1.3237612133613827,1.0142579068194835,122.1875,121.46207811121008,14.121432071500397,1.1118267689481078,8.2734375,-0.09583333333333144,1.7553587055953028,4.978752811615512
19,University of Michigan,98.06875,97.77716659966556,7.398582528937553,1.0811804580397213,123.16875,123.10302698569922,3.973697703336275,1.0334261634165463,130.225,130.17668262986936,3.5583528492829375,1.0275859048747764,95.7125,95.62080821581742,4.649445531458553,1.0425099549588517,124.45,123.81273242997658,13.268289264257104,1.1037976881947562,6.595312500000002,1.2124999999999961,1.4674266838298882,4.014576186133277
20,Johns Hopkins University,84.15625,83.82062780502699,7.58662216915407,1.0930860078767948,86.05,85.88559092107182,5.389573266966504,1.0633927210554222,105.65,105.59705010560674,3.3674916480965464,1.0320620711358892,123.43125,123.42495073946012,1.2630413443351716,1.0100897027484212,145.8,145.78625126947694,2.011839953873073,1.0137953865304061,15.410937500000003,6.825000000000003,-1.3936955538202491,0.9819491705751556
21,EPFL - Ecole Polytechnique Federale de Lausanne,72.68125,72.59307122691081,3.8265060352102,1.0488404711318338,63.23125,63.13413877229491,3.8000359784480793,1.0547172041709736,51.6375,51.449894869471414,4.9780612440989405,1.0836881300709957,71.84375,71.79477341268519,2.8274256732052216,1.0364299815710258,56.4625,56.32568352534106,4.390170127682993,1.0681851593617353,-4.054687500000002,-1.9770833333333329,0.1409160231181984,0.5297381704132974
22,The University of Tokyo,85.9375,85.89341237572502,2.825525393621512,1.0321310746192511,116.3,116.23986634638155,3.8564880396547325,1.0321888521910416,125.39375,125.25751496102907,6.126884276489958,1.0466258611168304,94.36875,94.25452974286607,4.90869365895857,1.0490725818831022,115.3875,115.3079577661727,4.477705187928289,1.037016380587008,7.362500000000001,-3.1145833333333335,0.41304494857669427,-0.487317039021167
23,The Australian National University,17.08125,16.32509161732624,7.117734782745131,1.299398771355752,15.775,14.801238424396498,6.92635365831113,1.3937650786175932,28.4875,28.38857575454948,3.074059815618442,1.0764759880550283,32.60625,32.47695047956306,3.614375594414605,1.0836063662600464,14.5375,13.892523897930307,5.248675428143759,1.320629462216571,-0.6359374999999998,-5.587500000000001,-0.4672648386503431,0.6085603193877184
24,The University of Hong Kong,18.575,17.355438575386838,7.987138098217668,1.4128914834830084,75.04375,75.04339228623293,0.23310070248714532,1.0030831498816606,121.1,121.09862279861159,0.5830951894845293,1.0047577161877264,92.1875,92.18504372112207,0.6817945071647321,1.0072791557298677,113.125,113.12349437007403,0.5889609494694873,1.0051492966722848,23.6375,-11.84375,-1.849544287187045,2.5537346126784257
25,Duke University,90.1,89.81061431542146,7.357988855658866,1.0827241047580627,118.4875,118.39029677368839,4.836046293202748,1.041188692774896,126.15,126.10783053573401,3.275286247032464,1.026141965372445,93.3375,93.32710501433684,1.3959203952948058,1.0150212811905845,115.65625,115.64154832258714,1.8474539067321816,1.0160584597606512,6.389062500000001,-2.0229166666666694,-1.3776337372316712,0.9911586912978313
